Deyimler;Türkçe Anlamı;İngilizce Anlamı
Sıkıntıya gelememek;Kendini dara düşürücü işlere dayanıklı olamamak, bu işleri yapma yeteneği bulunmamak;Not being able to be resistant to tare -lowering jobs, not having the ability to do these things
Sırra kadem basmak;Bir kimse ortalıktan yok olmak;Someone to disappear
Sırım gibi;İnce yapılı olmasına mukabil güçlü, dayanıklı;It is strong, resistant to its thin structure
Sırtından geçinmek;Asalak yaşamak, birinin kesesinden sağlamak;Living from the parasites, providing someone from someone's pouch
Sinek avlamak;Satış yapamamak, iş ve müşteri olmadığından boş oturmak, iş yapamaz olmak;Not being able to sell, sitting empty because there is no business and customers, being unable to do business
Sinekten yağ çıkarmak;"Hemen her şeyden, olmayacak şeyden bile çıkar sağlamaya çalışmak; yarar ummak";"Trying to come out of almost everything, even what will happen; hop a benefit"
Sineye çekmek;Bir zarara, hoş olmayan bir duruma, bir kötü söz veya davranışa ister istemez katlanmak;A damage, an unpleasant situation, a bad word or behavior inevitably endure
Sinirleri alt üst olmak;"Haddinden fazla sinirlenmek; ne yapacağını şaşırmak, bilememek";"To be more angry; Surprise what to do, not to know"
Sinirleri yatışmak;Öfkesi veya kızgınlığı geçmek, sakinleşmek;Passing anger or anger, calm down
Sinirleri gergin olmak;En ufak bir olay çıktığı anda tepki gösterecek kadar sinirleri bozuk olmak;Being upset enough to react as soon as the slightest incident arises
Sipsivri kalmak;Tek başına, çaresiz ortada kalmak;Staying alone, helpless
Sivri akıllı;Kimsenin aklını beğenmeyen, düşünceleri kimseninkine benzemeyen, acayip fikirleri olan;Who does not like anyone's mind, whose thoughts are not like anyone's, have strange ideas
Soğuk almak;Üşüyüp hastalanmak;Get sick
Soğuk kanlı;kolayca kızmayan, heyecana kapılmayan, telaş etmeyen;Easily angry, excitement, does not worry
Soğuk nevale;Sevimsiz, söz ve davranışları sıcak olmayan, insanlardan uzak duran kimse;The person who is cheesy, whose words and behaviors are not warm, stay away from people
Solda sıfır (kalmak);Hiçbir değeri ve önemi yok;It has no value and importance
Soluk aldırmamak;Çok sıkı çalıştırmak, dinlenmesine fırsat vermemek;Working very hard, not allowing to rest
Son kozunu oynamak;Elindeki son imkanı kullanmak, son çareye başvurmak;Using the last opportunity in your hand, applying for the last resort
Sonradan görme;Sonradan zenginleşerek gösteriş, kibarlık, övünme gibi davranışlarda bulunan;Later, enriched and behaved such as showing off, politeness and boasting
Soyup soğana çevirmek;Her şeyini, varını yoğunu elinden almak;To take everything, your existence
Söz altında kalmamak;Bir kimsenin kendisini inciten sözüne benzer şekilde cevap vermek;To answer a person's word that hurts himself in a similar way
Söz birliği etmek;Bir olayla ilgili olarak aynı şeyleri söylemek üzere anlaşmak, aynı görüşte olmak;To agree to say the same things about an event, to have the same opinion
Sözde kalmak;Yapılması kararlaştırılmış bir iş gerçekleşmemek;Not to do a job decided to do
Söz geçirmek;Dediğini yaptırmak;Do what he says
Söz götürmez;Gerçekliği, doğruluğu kesin ve açık olan;Reality, accuracy and clear
Söz (laf) işitmek;Paylanmak, azarlanmak, biri kendisine darılmak;To be shared, to be scolded, one to be crushed
Söz kaldırmamak;Onu inciten, onuruna dokunan söze dayanamayıp karşılık verir olmak;Being unable to withstand the word that hurts him and touches his dignity
Söz sahibi olmak;Herhangi bir konuda konuşmaya yetkisi bulunmak;To be authorized to talk about any subject
Sözü ağzında bırakmak;Söylemekte olduğu şeyi bitirmesine fırsat vermemek, engel olmak;Not allowing him to finish what he's saying, to prevent
Sözü bağlamak;Konuştuklarını bir sonuca vardırmak, konuşmayı sonuçlandırmak;To conclude what they are talking about, to conclude the conversation
Sözüne gelmek;En sonunda karşı çıktığı kimsenin fikrini kabul etmek;To accept the idea of ​​anyone he oppose in the end
Sözünü esirgememek;Ne düşünüyorsa söylemek, kimseden çekinmemek, karşısındakini kıracağım diye kaygılanmamak;Whatever he thinks, not to be afraid of anyone, not worrying that I will break the other person
Sözünün eri olmak;Verdiği sözü ne pahasına olursa olsun yerine getiren bir kişi olmak;To be a person who fulfills his promise at all costs
Sözünü yabana atmamak;Bir kimsenin söylediklerine önem vermek;To give importance to what a person says
Sudan ucuz;Çok ucuz, adeta bedava gibi;It's very cheap, it's like free
Su gibi akmak;Zamanın çok hızlı geçip gitmesi;That time passes too fast
Su gibi bilmek;Çok iyi, yanlışsız bilmek veya okumak;Very good, wrong to know or read
Su gibi ezberlemek;Çok iyi, yanlışsız ve takılmadan söyleyebilecek ölçüde ezberlemek;Memorizing to the extent that very good, unsuccessful and without hanging out
Su götürmez;Kesin, başka bir yoruma açık olmayan;For sure, not open to another interpretation
Sululuk etmek;Cıvıklık etmek, taşkın hareketlerde bulunmak, ciddi davranmamak;To be squeezed, to make flood movements, not to be serious
Surat bir karış;üzüntülü ve somurtkan;sad and sullen
Suratını ekşitmek;Hoşnutsuzluğunu yüz ifadesiyle belli etmek;To show your discontent with the expression
Suya götürüp susuz getirmek;Birinden çok kurnaz olmak, onu aldatabilecek kadar akıllı ve kabiliyetli olmak;Being more cunning than someone, being smart and talented enough to cheat it
Suya sabuna dokunmamak;Sakıncalı konulardan uzak durmak, davranışlarıyla birilerini incitmeyecek yol tutmak;Stay away from objectionable issues, to keep a way that will not hurt someone with their behavior
Suyu bulandırmak;İyi, olumlu, yolunda giden bir işi art niyetle karıştırmak;Mixing a good, positive, on the way with a job
Suyu kaynamak;İş başından uzaklaştırılması zamanı yakın olmak;Being close time to remove it from work
Suyunca gitmek;Bir kimseyi öfkelendirmeyecek biçimde hareket edip davranışlarını onun isteğine, eğilimlerine uydurmak;Acting in a way that does not angry a person and adapting to his will and tendencies
Suyunu çekmek;Bir şeye özellikle de para harcanıp tükenmek;Specifying something, especially money and running out
Suyunun suyu;Çok uzaktan ilgisi bulunan şey;What has a very distance -related
Su yüzü görmemiş;Hiç yıkanmamış, çok kirli;Never washed, very dirty
Su yüzüne çıkmak;Belli olmak, aydınlanmak;Being clear, getting enlightened
Süklüm püklüm;Korkup çekinerek, ezilip büzülerek, utanıp sıkılarak;Fear and shy, crushing and shrinking, embarrassed and bored
Sünger çekmek;Unutmak, silmek, hiçbir şey olmamış saymak;Forget, delete, count nothing happened
Sürüden ayrılmak;Herkesin tuttuğu yolu bırakıp ayrı bir yol takip etmek;To leave the way everyone holds and follow a separate path
Süt dökmüş kedi gibi;Bir kabahat işleyip de bu kabahatinden dolayı utanan, korkan, çekinen kimsenin durumunu;The situation of anyone who is embarrassed, afraid and afraid for this misdemeanor
Süt kuzusu;Çok küçük bebek, yavru, korunması gereken küçük çocuk;Very little baby, puppy, little boy to be protected
Süt liman olmak;Dingin, gürültüsüz, sakin olmak;To be calm, noise, calm
Şad olmak;Sevinmek, mutlu olmak;To be happy, to be happy
Şaka götürmemek;Bir iş ya da durum dikkatsizliğe, önemsenmemeye gelmemek;A job or situation is careless, not to be careful
Şakası yok;Tehlikeli;Dangerous
Şamar oğlanı;Herkesin hıncını aldığı, dövdüğü, çattığı, söylendiği kimse;Everyone's vengeance, beats, cracks, is said
Şamata koparmak;Gürültü, patırtı yapmak;Noise, making a fuss
Şapa oturmak;Güç bir duruma düşmek, çıkmaza girmek;Falling into a difficult situation, getting into a dead end
Şeşi beş görmek;Yanlış görmek, görüşünde aldanmak;To see wrong, to be deceived in your opinion
Şeyhin kerameti kendinden menkul;Çok büyük işler yaptığını belirtiyor ama bunu doğrulayacak ne kanıt ne de kimse var ortalıkta;He says he's doing great things, but there's no evidence to confirm this, nor no one around.
Şeytana uymak;doğru yoldan ayrılmak;take the right way
Şeytan dürtmek;Durup dururken uygunsuz, kötü bir davranışta bulunmak;To be inappropriate, bad behavior
Şeytan görsün yüzünü;Onunla hiç görüşmek, bir arada bulunmak istememek;To meet him at all, not want to be together
Şeytanın art bacağı;Çok afacan ve yaramaz (çocuk);Very mischievous and naughty (child)
Şeytanın bacağını kırmak;Aksiliği, uğursuzluğu yenmek;Defeat the optional, ominous
Şeytanın yattığı yeri bilmek;"Çok kurnaz ve açıkgöz olmak; bilinmesi, hatırlanması güç şeyleri bilmek; pek çok şeyden haberdar olmak";"To be very cunning and open; Knowing things that are difficult to know and remember; To be aware of many things"
Şimşekleri üzerine çekmek;"Söz ve davranışlarıyla çevresindekileri kızdırmak; rahatsız etmek; sert eleştirilerine, saldırılarına hedef ve neden olmak";"To annoy those around him with his words and behaviors; disturbing; To target and cause harsh criticisms, attacks"
Şirazesinden çıkmak;Bozulmak, çığırından çıkmak, düzenini yitirmek;Break, exit out of his ground, losing the order
Şom ağızlı;Hemen her olayı kötüye yoran, kötü şeyler olacağını söyleyen, ileri sürdüğü ihtimallerin gerçekleşmesinden korkulan kimse;Anyone who gets abuse of almost every event, says that there will be bad things, feared the possibility of the possibilities he puts forward
Şunu bunu bilmemek;İtiraz dinlememek, mazeret kabul etmemek, bahane istememek;Not to listen to objection, not to accept an excuse, to ask for an excuse
Şüphe kurdu;Kişinin içini kemiren, onu tedirgin eden kuşku;The doubt that gnaws the inside of him and makes him anxious
Tabana kuvvet;Binecek bir şey yok, yayan gitmekten başka çare de kalmadı;There is nothing to ride, there is no choice but to go to the emitting
Tabanları kaldırmak;Çok hızlı yürümeye ya da çok hızlı koşarak kaçmaya başlamak;Start walking too fast or running running too fast
Tabanları yağlamak;Hızlıca koşarak kaçmak;Run away
Taban tabana zıt;Birbirinin tamamen karşıtı olmak, birbirine çok aykırı;Being completely opposite each other is very contrary to each other
Tadı damağında kalmak;Tadını, lezzetini bir türlü unutamamak;Not to forget the taste and flavor
Tadında bırakmak;Ölçülü olup aşırılığa kaçmamak;Not to escape to extremes
Tadını çıkarmak;Bir şeyin sağladığı güzelliklerden ya da imkanlardan istediği gibi yararlanmak;To take advantage of the beauties or opportunities provided by something as they wish
Tadını kaçırmak;Zevkine varılmaya çalışılan bir şeyde aşırılığa kaçarak olumsuz bir durum oluşturmak, zevki bozmak;To create a negative situation by escaping to extremes in something that is trying to enjoy, to break the pleasure
Tadı tuzu kalmamak;Eski zevk veren yanı kalmamak, yavanlaşmak, güzel ve çekici durumu ortadan kalkmak;The old pleasure is not to remain, to become uninspired, to eliminate the beautiful and attractive situation
Tahtalı köy;Mezarlık;Cemetery
Tahtası eksik;Aklı noksan, deli;Less than your mind, crazy
Takke düştü kel göründü;Kusuru, kabahati örten şey ortadan kalkınca bütün çirkinlikler, hileler, ayıplar ortaya çıktı;When what covers the fault, the misdemeanor disappeared, all the ugliness, tricks, shames appeared
Tam takır kuru bakır;İçinde hiçbir şey yok, bomboş;There is nothing in it, empty
Tam üstüne basmak;İstenilen şeyi bulmak, fikir ve davranışlarında isabet kaydetmek, istenilen sözü söylemek;Finding the desired thing, making hit in ideas and behaviors, saying the desired word
Taraf tutmak;Bir yanı desteklemek, yan çıkmak;Supporting one side, exit
Tarihe karışmak;Yalnız adı anılır olmak veya etkisi yok olmak;To be known alone or to disappear
Tası tarağı toplamak;Gitmek üzere bütün eşyasını toplamak;Collect all his belongings
Taş atmak;Birine dokunacak, onu incitecek söz söylemek;Saying a word that will touch someone, hurt him
Taşa tutmak;Üst üste taş atmak, sürekli taşlamak;Throwing stones on top of each other, stoning constantly
Taş çıkartmak;Biri, ötekinden niteliğiyle üstün olmak;One is to be superior to its nature
Taşı gediğine koymak;Zekice bir hareketle gerekli bir sözü tam zamanında ve yerinde söylemek;Saying a necessary word in a clever movement just on time and on the spot
Taşı sıksa suyunu çıkarmak;Bedence çok kuvvetli, dinç kimse;Very strong, vigorous in the body
Taş kesilmek;"Çok şaşırıp ne yapacağını, ne söyleyeceğini bilemez olmak; sesini çıkaramamak, hareket edememek";"Being very surprised and not knowing what to do, what to say; Not being able to make a voice, not being able to move"
Taş üstünde taş bırakmamak;Her şeyi yıkıp yerle bir etmek;Destroy everything and destroy it
Taş yürekli;Hiç acıma hissi taşımayan, merhametsiz;It does not feel any pity, merciless
Tatlı dil;Gönül alıcı, hoşa giden, kırmayan konuşma biçimi ya da söz;Heart -buyer, pleasant, non -breaking speech or word
Tatlı sert;Kırmamakla birlikte yumuşak da olmayan söz ya da davranış;Although it does not break, it is not soft or not.
Tatlıya bağlamak;Bir anlaşmazlığı tarafları memnun edecek biçimde bir çözüme ulaştırmak;To solve a dispute to a solution to satisfy the parties
Tavına getirmek;Bir işi en uygun duruma getirmek;To make a job most suitable
Tava gelmek;Yumuşamak, kanmak;Softening, bleeding
Tavır almak;Belli bir durum ve davranış almak.;To take a certain situation and behavior.
Tavşana kaç tazıya tut;Birbirine karşı olan tarafları çatışma için kışkırtma, davranışlarında yüreklendirme;Provision of sides against each other for conflict, encouraging their behavior
Tavşanın suyunu suyu;İki şey arasında çok uzak bir ilgi olması;There is a very distant interest between the two things
Tavşan yürekli;Korkak, ürkek, çekingen;Cowardly, timid, shy
Tebdil gezmek;Tanınmamak için kılık değiştirerek gezmek;Wandering in disguise to avoid being recognized
Tekerine çomak sokmak;Birinin yolunda giden işini engellemek, aksatmak gibi davranışlarda bulunmak;To prevent someone on the way to prevent and disappear
Temcit pilavı gibi ısıtıp ısıtıp koymak;Bir meseleyi sürekli anlatmak, yeni bir şeymiş gibi birçok defa söz konusu etmek;To tell a matter constantly, to be a new thing as a new thing
Temize çıkmak;Bir kimsenin suçsuz olduğu anlaşılmak;To be understood that a person is innocent
Tencerede pişirip kapağında yemek;Zor geçinmek, olanıyla yetinmek;Hardly getting along, contenting with what
Tencere yuvarlanmış kapağını bulmuş;İki değersiz kişi bir araya gelmiş, birleşmiş, yakışmışlar birbirlerine;Two worthless people came together, united and suited to each other
Tepeden bakmak;Küçümsemek, kendini üstün görmek;To despise, to see yourself superior
Tepeden tırnağa;Her yanı, baştan aşağı, bütün vücudu;All over, from top to bottom, the whole body
Tepesi atmak;Çok sinirlenmek, birden öfkelenmek;Getting very angry, suddenly getting angry
Tepesine binmek;Şımarıklığı sebebiyle her istediğini yapmak, yaptırmak;To do whatever he wants because of his spoiledness
Tepe tepe kullanmak;Yıpranacağını, eskiyeceğini düşünmeden, sakınmadan istediği gibi kullanmak;Using it as you wish
Ter dökmek;Bir işi yapmak için çok zahmet, zorluk çekmek;Too hard to do a job, to have difficulty
Tereciye tere satmak;Birine çok iyi bildiği bir konuda bilgi vermeye çalışmak;Trying to give someone information on something he knows very well
Tere yağından kıl çeker gibi;Hiç kimseye zarar vermeden, çok kolaylıkla kimseye hissettirmeden, kimi sorumluluklardan kurtularak;Without harming anyone, without making anyone feel very easily, getting rid of some responsibilities
Ters tarafından kalkmak;Aksi, huysuz ve ters olmak;Otherwise, being grumpy and reverse
Ters yüz geri dönmek;İstediğini elde edemeden, eli boş dönmek;Before you get what you want, return empty -handed
Tetikte olmak;Her an uyanık ve hazır bulunmak;To be awake and ready at any moment
Tez canlı;Aceleci, sabırsız, beklemeye dayanamayan;Hasty, impatient, unable to wait
Tez elden;Çabucak, bir an önce, çarçabuk;Quickly, as soon as possible,
Tezkeresini eline vermek;Kovmak, işten atmak, işine son vermek;To fire, to dismiss, to end your work
Tıka basa doldurmak;Doldururken çok bastırıp sıkıştırmak, hiç boş yer bırakmamak;Pressing and compressing while filling, not leaving no empty space
Tıka basa yemek;Haddinden fazla yemek, çok yemek, mideyi rahatsız edecek kadar çok yemek;Eating too much, a lot of food, enough food to disturb the stomach
Tok evin aç kedisi;Varlıklı olduğu hâlde doymayan, ihtiyacı olmadığı hâlde aç gözlülük eden, her gördüğüne sahip olmak isteyen (kimse);Even though it is wealthy, it is greedy even though it does not need it, who wants to have everything (nobody)
Tok gözlü;"Mala, paraya, yiyeceğe düşkün olmayan; cömert";"Trowel, money, food is not fond of; generous"
Tok sözlü;özünü esirgemeden, çekinmeden, hatır gönül dinlemeden söyleyen;Saying his essence without sparing, without hesitation, without listening to the heart
Tongaya basmak;Tuzağa düşmek;Fall into a trap
Topa tutmak;Bir kimseye kırıcı, ağır sözler söylemek;Saying a crusher, heavy words to a person
Topun ağzında;Tehlikeye, saldırıya en yakın yerde olmak;Being closest to the danger, attack
Topu topu;olup olacağı, yalnızca, hepsi;whether or not, all
Toz kondurmamak;Bir şeyi kusursuz göstermek, onda bir kusurun olabileceğini kabul etmemek;Showing something flawless, not to admit that there may be a flaw in it
Toz olmak;Ortadan kaybolmak, kaçmak, uzaklaşmak;Disappear, escape, get away
Toz pembe görmek;"Aşırı iyimser olmak; hemen her aksaklığı, üzücü durumları iyimserlikle karşılamak";"To be overly optimistic; to meet almost every disruption, sad situations with optimism"
Tozu dumana katmak;Ortalığı altüst etmek, karışıklığa yol açmak, gürültü patırtı çıkarmak;Upside down, causing confusion, making noise fuss
Turnayı gözünden vurmak;Hiç beklenmedik bir kazanç sağlama imkanını ele geçirmek;To seize the opportunity to make an unexpected profit
Turp gibi;Çok sağlıklı, sağlam, rahatı yerinde;Very healthy, robust, comfortable
Turşusu çıkmak;Çok yorulmak;To get exhausted
Turşusunu kurmak;Bir şeyi kullanmak, harcamak gerekirken kıyamamak;Not being able to use something and spend when you need to spend
Tuttuğu dal elinde kalmak;Dayandığı, güvendiği şey önemini kaybederek işe yaramaz hâle gelmek;To come to use by losing its importance by losing its importance
Tuttuğunu koparmak;Her girişiminden başarıyla çıkmak, her işi becermek;Successfully exit from every attempt, to fuck every job
Tutunacak dalı olmamak;Güveneceği, dayanacağı kimse bulunmamak;There is no one to trust, endure
Tuz biber olmak;Bir üzüntünün acısını, bir kusurun ağırlığını daha da artırmak;To increase the pain of a sadness and the weight of a defect
Tuzla buz olmak;paramparça olmak;be shattered
Tuzluya mal olmak;Oldukça çok para harcanarak sağlanmış olmak;To be achieved by spending a lot of money
Tuzu kuru;"Hiçbir derdi, sıkıntısı olmayan; kazancı yerinde olduğu için kaygılanmayan";"No problem, without any problems; Uncomfortable because of his earnings"
Tükürdüğünü yalamak;Verdiği sözden geri dönerek benliğini küçültmek;To shrink the self by returning from his promise
Türküsünü çağırmak;Birinin hoşuna gidecek davranış ortaya koymak, söz söylemek, onun tarafını tutmak;To reveal the behavior that someone will like, to say a word, to keep his side
Tüyleri diken diken olmak;Tüyleri diken diken olmak;Horripilation
Ucu dokunmak;Bir işten biri zarar görür olmak, söylenen bir söz birine zarar vermek;One of the things to be damaged, a word that is said to harm someone
Ucunu kaçırmak;Çıkmaza girmek, denetimi elinden kaçırmak;Entering a dead end, missing the control
Ucu ortası belli olmamak;Bir işe, söze nereden başlanacağı kestirilememek;Not being able to predict where to start
Ucunda bir şey olmak;Bir şeyde gizli bir amaç bulunmak;Find a secret purpose in something
Ucu ucuna;Ancak yetişecek kadar;But enough to grow up
Ucuz atlatmak;Güç ve tehlikeli durumdan az bir zararla sıyrılmak;To get out of the power and dangerous situation with less damage
Uçan kuşa borcu olmak;Pek çok kişiye borçlu olmak;Being indebted to many people
Uçan kuştan medet ummak;Pek sıkıntıda bulunup, bu sıkıntıdan kurtulmak için her türlü çareye, olmadık yerlere başvurmak, yardım istemek;To be in trouble and to resort to all kinds of remedies to get rid of this distress, to ask for help
Uçsuz bucaksız;Çok geniş;Very wide
Ulu orta söz söylemek;Bir şeyin aslını bilmeden, düşünüp tartmadan, çekinmeden, açıktan açığa konuşmak;Without knowing the original of something, thinking and weighing, without hesitation, talking openly
Ununu elemiş, eleğini asmış;Hayatta yapmak istediklerini yapmış, geri kalan ömrü süresince artık yapacak önemli bir işi kalmamış;He did what he wanted to do in life, and during his rest of his life, he no longer has a significant job.
Utancından yere geçmek;Çok utanmak, kimsenin yüzüne bakamayıp sanki saklanacak yer aramak;To be very embarrassed, looking at anyone's face and looking for a place to hide
Uyku bastırmak;Aşırı derecede uykusu gelmek, uyuma isteği duymak;To come to sleep, to sleep to sleep
Uyku gözünden akmak;Çok uykusu gelmek, göz kapakları kapanmak;To come asleep, to close the eyelids
Uykusu kaçmak;Uyuması gerekirken herhangi bir sebepten ötürü uyuyamamak;Not being able to sleep for any reason while he should sleep
Uykusunu almak;Gerektiği kadar uyumuş olmak;To sleep as much as necessary
Uyku tulumu;Uykuyu çok seven kimse, çok uyuyan;The one who loves sleep very much
Uyur uyanık;Yarı uykulu;Semi -sleepy
Uzun etmek;Sözü uzatmak, tartışmayı sürdürmek;Extending the word, maintaining the discussion
Uzun uzadıya;Çok ayrıntılı olarak, en ince noktalarına inerek;Very detail, by going down to the finest points
Üç aşağı beş yukarı;Az bir farkla, az fazla ya da az eksik olmak üzere, yaklaşık olarak;With a small difference, less or less missing, approximately
Üç buçuk atmak;Çok korkmak, korku içinde olmak, istenmeyen bir durum olacak diye korkup durmak;To be very scared, to be in fear, to be afraid of an unwanted situation
Ümidini kesmek;olacağını beklememek, kavuşamayacağını anlamak;not to wait for it, to understand that you cannot meet
Ümitsizliğe düşmek;Gerçekleşmeyeceğine, olmayacağına inanmak;Believing that it will not be realized or not
Üst baş;Kılık kıyafet, giyim kuşam;Disagreement, clothing
Üste çıkmak;Suçlu olduğu halde suçsuz durumda olduğunu söyleyip karşısındakini suçlamak;To say that he is guilty of being guilty and blaming the other person
Üstesinden gelmek;Becermek, üzerine aldığı işi başarmak, yapmak;Fucking, doing the job he takes, doing
Üst perdeden konuşmak;Üstünlük taslayarak konuşmak;Superior
Üstü başı dökülmek;Kılık ve kıyafeti çok eski olmak, perişan durumda bulunmak;To be very old and to be in a miserable situation
Üstü kapalı konuşmak;Açık, kesin ifadeler kullanmadan konuşup dinleyenin kavrayışına bırakmak;Speaking and leaving the listener without using clear, definite expressions
Üstünde durmak;Bir işe önem vermek, o işle yakından ilgilenmek, uğraşmak;To give importance to a job, to take care of that job closely, to deal with
Üstüne almak;Alınmak, bir hareketin kendisine karşı yapıldığını sanarak kaygılanmak;To be taken, to be worried that a movement was made against him
Üstüne atmak;Kendi yaptığı bir suçu birine yüklemek;Uploading a crime he makes to someone
Üstüne basmak;Yerinde bir fikir beyan etmek;Expressing an idea
Üstüne bir bardak (soğuk) su içmek;O işten umudunu kesmek, o işin olacağına inanmamak, parasını ya da malını almaktan vazgeçmek;Cutting your hope from that job, not to believe that it will happen, to stop taking your money or property
Üstüne varmak;Bir şeyi yapmasını zorlayarak istemek;Wanting to do something by force
Üstüne yıkmak;Kendi işlediği bir suçu başkasına yüklemek;To put a crime he committed on to someone else
Üzerine titremek;"Pek fazla sevgi, özen göstermek; zarar gelmesin diye itinalı davranmak";"Too much love, to take care; to be careful"
Üzüm üzüm üzülmek;Haddinden fazla, çok üzülmek;More than a limit to be very sad
Vadesi gelmek;Ömrü sona ermek, eceli gelmek, ölmek;To end the life, to come to the time, to die
Vakitli vakitsiz;Rastgele bir zamanda, gelişigüzel, uygun bir zamanı gözetmeden.;At a random time, randomly, without a suitable time.
Vaktini öldürmek;Zamanını yararsız, gereksiz, boş işlerle ya da hiç iş yapmadan, boş yere geçirmek;To spend your time in vain
Vaktini şaşmamak;Tam zamanında;Right on time
Vara yoğa karışmak;Her şeye, üstüne lazım olsun olmasın her işe karışmak;To be involved in everything, whether you need it,
Varlıkta darlık çekmek;Elinde her imkan olduğu halde bunlardan yararlanamamak, sıkıntıya düşmek;Not being able to benefit from them even though they have every opportunity, falling into trouble
Vebali boynuna olmak;Bir işin günahını yüklenmek;To load the sin of a job
Velveleye vermek;Gereksiz bir heyecana, telaşa düşürmek;Unnecessary excitement, anxiety
Verip veriştirmek;Ağır sözler söylemek, ağzına ne gelirse söylemek;Say heavy words, whatever comes to your mouth
Vıdı vıdı etmek;Söylenip durmak, hemen her şeyi eleştirip beğenmediğini söyleyerek durmadan konuşmak, etrafındakileri rahatsız etmek;Talking, saying that he has criticized almost everything, to disturb those around him
Vız gelip tırıs gitmek;Hiç önemsememek, aldırış etmemek;Not to care at all, not to mind
Viraneye çevirmek;Yakıp yıkmak, yıkıntı durumuna getirmek, harap etmek;Burning and demolishing, to ruin, to ruin
Vurduğu yerden ses getirmek;çok kuvvetli vurmak;hitting
Vurdumduymaz Kör Ayvaz;Umursamaz, aldırmaz, duygusuz ve kayıtsız kimse;Unconcerned, ignored, insensitive and indifferent
Vur patlasın çal oynasın;"Aşırı zevk ve eğlence; aşırı zevk ve eğlenceye düşkün kimsenin parasını bu yolda harcaması";"Excessive pleasure and entertainment; Anyone who is fond of extreme pleasure and entertainment spends on this path"
Vurucu güç;Çok etkin silahlarla donatılmış, özel eğitim görmüş askerî birlik;Equipped with very effective weapons, specially educated military unit
Vücuda getirmek;Oluşturmak, meydana getirmek, var etmek;To create, create, create
Yabana atmak;Önem vermemek, önemsiz görüp dikkate almamak, üzerinde durmamak;Not to give importance, not to consider or take into account, not to emphasize
Yabancılık çekmek;Bir iş ya da çevrede yabancı olmaktan dolayı ortaya çıkan zorlukların etkisinde kalmak;To be influenced by the difficulties arising from being a stranger in a business or environment
Ya bu deveyi gütmeli, ya bu diyardan gitmeli;Bu işi mutlaka yapmalısın, başka yolu yok, aksi taktirde burada kalamazsın;You have to do this job, there is no other way, otherwise you can't stay here
Ya devlet başa, ya kuzgun leşe;Giriştiğim iş beni ya büyük bir varlığa ve mevkiye ulaştıracak ya da mahvedecek, batıracak;The work I have undertaken will either bring me to a great being and position, or to ruin, sink me
Yağcılık etmek;Dalkavukluk etmek, övmek, pohpohlamak;Donging, praising, pocketing
Yağlı ballı olmak;Araları çok iyi, içli dışlı, samimi olmak;To be very good, intimate, sincere
Yağlı kapı;Çalıştırdığı kimselere bol kazanç sağlayan kimse, kuruluş, aile ya da yer;The person, organization, family or place that provides abundant earnings to the people he runs
Yağmurdan kaçarken doluya tutulmak;Bir tehlikeden, güç bir durumdan kaçarken daha kötüsüyle karşılaşmak;To encounter worse while escaping from a danger, a difficult situation
Yağmur yağarken küpünü doldurmak;Kazanma fırsatı varken ondan yararlanıp para veya mal edinmek;To take advantage of it and make money or goods when there is the opportunity to win
Yakadan atmak;Savıp kurtulmak, başından atmak;Save away, throw away
Yaka paça;Hiçbir itiraz dinlemeden, zorla, kuvvet kullanarak;Without listening to any objection, using force
Yakasına yapışmak;Hesap sormak ya da bir şey istemek için tutup bırakmamak;Whether to ask for an account or to ask for something
Yakasını bırakmamak;Bezdirecek kadar üstüne düşmek, ısrar etmek, yanından ayrılmamak;Falling on top of it, insisting, not leaving
Yakasını kaptırmak;Bir şeyin, bir kimsenin etkisinden kendisini kurtaramamak, ona bağlanmış olmak;Not being able to save himself from the influence of something, to be attached to him
Yaka silkmek;"Bıkıp usanmak; bir iş, durum, yer ya da kimsenin olumsuz yanlarından tedirginlik duyduğunu belirtmek";"Get tired; to indicate that a job, situation, place, or nobody is uneasy of their negative aspects"
Yakayı ele vermek;Yakalanmak, kaçamayarak ele geçmek;To be caught, to get captured by not being able to escape
Yakayı kurtarmak;Umulmazken bir işten ya da kimseden kurtulmak, kaçmak;Getting rid of a job or anyone while unexpected, escape
Yakışık almamak;Yerinde olmamak, uygun düşmemek, yaraşmamak;Not to be in place, not to be appropriate, not to use
Yalancısı olmak;Doğruluğu bilinmeyen, inanılmayacak sözleri bir başkasından işiterek söylemiş olmak;To be unknown to the unknown, unbelievable words from someone else to say
Yalan dolan;Hile, düzen, dalavere, yolsuz davranış;Cheating, order, trick, corrupt behavior
Yan bakmak;Beğenmeyerek, kötü niyetle, düşmanca bakmak;Looking hostile in bad faith
Yan çizmek;Kendisine yüklenen bir görevden kaçmak;Avoid a task imposed on him
Yan gelip yatmak;Yapacak işleri olduğu hâlde yapmamak, rahatına bakmak, keyfince yaşamak;Not to do the work to do, to look at your comfort, to live in the arbitrary
Yangına körükle gitmek;Anlaşmazlığı, gerginliği, kargaşalığı artırıcı, her iki tarafı kışkırtıcı söz ve davranışlarda bulunmak;Increasing the dispute, tension, turmoil, to make provocative words and behaviors on both sides
Yan gözle bakmak;Göz ucuyla bakmak;Look at the eye
Yanına bırakmamak;Kendisine yapılan kötülüklerin öcünü almak, cezasını sert karşılıklarla vermek;To avenge the evils done to him, to give his punishment with harsh response
